Time,CURRENT,mA
5997,CURRENT,222,0
5999,CURRENT,29,0
6001,CURRENT,114,0
6002,CURRENT,11,0
6004,CURRENT,7,0
6006,CURRENT,5,0
6008,CURRENT,4,0
6011,CURRENT,5,0
6013,CURRENT,5,0
6017,CURRENT,4,0
6019,CURRENT,4,0
6022,CURRENT,5,0
6024,CURRENT,4,0
6027,CURRENT,4,0
6029,CURRENT,4,0
6032,CURRENT,5,0
6034,CURRENT,4,0
6037,CURRENT,3,0
6039,CURRENT,3,0
6042,CURRENT,5,0
6044,CURRENT,4,0
6047,CURRENT,3,0
6049,CURRENT,4,0
6052,CURRENT,5,0
6054,CURRENT,4,0
6057,CURRENT,3,0
6060,CURRENT,4,0
6063,CURRENT,5,0
6065,CURRENT,4,0
6067,CURRENT,3,0
6070,CURRENT,4,0
6072,CURRENT,5,0
6075,CURRENT,4,0
6077,CURRENT,4,0
6080,CURRENT,5,0
6082,CURRENT,5,0
6085,CURRENT,4,0
6087,CURRENT,4,0
6090,CURRENT,5,0
6092,CURRENT,5,0
6095,CURRENT,4,0
6097,CURRENT,4,0
6100,CURRENT,5,0
6103,CURRENT,5,0
6106,CURRENT,4,0
6108,CURRENT,5,0
6111,CURRENT,5,0
6113,CURRENT,5,0
6116,CURRENT,4,0
6118,CURRENT,5,0
6121,CURRENT,5,0
6123,CURRENT,9,0
6126,CURRENT,9,0
6128,CURRENT,9,0
6131,CURRENT,9,0
6133,CURRENT,9,0
6136,CURRENT,9,0
6138,CURRENT,9,0
6141,CURRENT,9,0
6144,CURRENT,9,0
6147,CURRENT,9,0
6149,CURRENT,9,0
6152,CURRENT,9,0
6154,CURRENT,9,0
6157,CURRENT,9,0
6159,CURRENT,9,0
6162,CURRENT,9,0
6164,CURRENT,9,0
6167,CURRENT,9,0
6169,CURRENT,9,0
6172,CURRENT,9,0
6174,CURRENT,9,0
6177,CURRENT,9,0
6179,CURRENT,9,0
6182,CURRENT,994,0
6184,CURRENT,340,0
6188,CURRENT,876,0
6191,CURRENT,903,0
6193,CURRENT,900,0
6196,CURRENT,844,0
6198,CURRENT,926,0
6201,CURRENT,751,0
6204,CURRENT,762,0
6206,CURRENT,809,0
6209,CURRENT,678,0
6212,CURRENT,784,0
6214,CURRENT,783,0
6217,CURRENT,613,0
6220,CURRENT,519,0
6222,CURRENT,654,0
6225,CURRENT,563,0
6228,CURRENT,651,0
6231,CURRENT,398,0
6234,CURRENT,538,0
6237,CURRENT,316,0
6239,CURRENT,545,0
6242,CURRENT,396,0
6245,CURRENT,449,0
6247,CURRENT,380,0
6250,CURRENT,407,0
6253,CURRENT,581,0
6255,CURRENT,460,0
6258,CURRENT,316,0
6261,CURRENT,394,0
6263,CURRENT,275,0
6266,CURRENT,585,0
6269,CURRENT,381,0
6272,CURRENT,261,0
6275,CURRENT,332,0
6278,CURRENT,575,0
6280,CURRENT,315,0
6283,CURRENT,403,0
6285,CURRENT,541,0
6288,CURRENT,346,0
6291,CURRENT,258,0
6293,CURRENT,299,0
6296,CURRENT,368,0
6299,CURRENT,205,0
6301,CURRENT,340,0
6304,CURRENT,303,0
6307,CURRENT,453,0
6309,CURRENT,238,0
6312,CURRENT,391,0
6316,CURRENT,396,0
6318,CURRENT,177,0
6321,CURRENT,176,0
6324,CURRENT,454,0
6326,CURRENT,332,0
6329,CURRENT,310,0
6332,CURRENT,497,0
6334,CURRENT,243,0
6337,CURRENT,231,0
6340,CURRENT,519,0
6342,CURRENT,300,0
6345,CURRENT,327,0
6348,CURRENT,452,0
6350,CURRENT,232,0
6353,CURRENT,238,0
6356,CURRENT,463,0
6359,CURRENT,254,0
6362,CURRENT,281,0
6365,CURRENT,388,0
6367,CURRENT,222,0
6370,CURRENT,302,0
6372,CURRENT,464,0
6375,CURRENT,271,0
6378,CURRENT,302,0
6380,CURRENT,291,0
6383,CURRENT,194,0
6386,CURRENT,324,0
6388,CURRENT,516,0
6391,CURRENT,220,0
6394,CURRENT,370,0
6396,CURRENT,508,0
6400,CURRENT,162,0
6403,CURRENT,247,0
6405,CURRENT,400,0
6408,CURRENT,171,0
6411,CURRENT,265,0
6413,CURRENT,231,0
6416,CURRENT,505,0
6419,CURRENT,149,0
6421,CURRENT,249,0
6424,CURRENT,452,0
6427,CURRENT,175,0
6429,CURRENT,275,0
6432,CURRENT,167,0
6435,CURRENT,151,0
6437,CURRENT,176,0
6440,CURRENT,493,0
6444,CURRENT,294,0
6446,CURRENT,223,0
6449,CURRENT,365,0
6452,CURRENT,241,0
6454,CURRENT,235,0
6457,CURRENT,141,0
6459,CURRENT,132,0
6462,CURRENT,259,0
6465,CURRENT,381,0
6467,CURRENT,143,0
6470,CURRENT,386,0
6473,CURRENT,384,0
6475,CURRENT,267,0
6478,CURRENT,412,0
