Time,CURRENT,mA
6240,CURRENT,0,0
6243,CURRENT,12,0
6244,CURRENT,139,0
6246,CURRENT,8,0
6247,CURRENT,7,0
6249,CURRENT,5,0
6252,CURRENT,4,0
6254,CURRENT,4,0
6257,CURRENT,5,0
6259,CURRENT,4,0
6262,CURRENT,3,0
6264,CURRENT,4,0
6266,CURRENT,5,0
6269,CURRENT,4,0
6272,CURRENT,4,0
6275,CURRENT,4,0
6277,CURRENT,5,0
6280,CURRENT,4,0
6282,CURRENT,4,0
6285,CURRENT,4,0
6287,CURRENT,5,0
6290,CURRENT,3,0
6292,CURRENT,3,0
6295,CURRENT,5,0
6297,CURRENT,4,0
6300,CURRENT,3,0
6302,CURRENT,4,0
6305,CURRENT,5,0
6307,CURRENT,5,0
6310,CURRENT,3,0
6312,CURRENT,4,0
6316,CURRENT,4,0
6318,CURRENT,4,0
6321,CURRENT,4,0
6323,CURRENT,5,0
6326,CURRENT,5,0
6328,CURRENT,5,0
6331,CURRENT,4,0
6333,CURRENT,5,0
6336,CURRENT,5,0
6338,CURRENT,5,0
6341,CURRENT,4,0
6343,CURRENT,5,0
6346,CURRENT,6,0
6348,CURRENT,5,0
6351,CURRENT,4,0
6353,CURRENT,5,0
6356,CURRENT,5,0
6359,CURRENT,4,0
6362,CURRENT,4,0
6364,CURRENT,5,0
6367,CURRENT,5,0
6369,CURRENT,5,0
6372,CURRENT,4,0
6374,CURRENT,5,0
6377,CURRENT,9,0
6379,CURRENT,9,0
6382,CURRENT,9,0
6384,CURRENT,9,0
6387,CURRENT,9,0
6389,CURRENT,9,0
6392,CURRENT,9,0
6394,CURRENT,9,0
6396,CURRENT,9,0
6400,CURRENT,9,0
6402,CURRENT,9,0
6405,CURRENT,9,0
6407,CURRENT,9,0
6410,CURRENT,9,0
6412,CURRENT,9,0
6415,CURRENT,9,0
6417,CURRENT,9,0
6420,CURRENT,8,0
6422,CURRENT,9,0
6425,CURRENT,9,0
6427,CURRENT,9,0
6430,CURRENT,9,0
6432,CURRENT,9,0
6435,CURRENT,47,0
6437,CURRENT,10,0
6440,CURRENT,41,0
6444,CURRENT,49,0
6446,CURRENT,48,0
6449,CURRENT,49,0
6451,CURRENT,55,0
6454,CURRENT,51,0
6456,CURRENT,49,0
6459,CURRENT,50,0
6462,CURRENT,51,0
6464,CURRENT,43,0
6467,CURRENT,38,0
6469,CURRENT,36,0
6472,CURRENT,37,0
6474,CURRENT,36,0
6477,CURRENT,37,0
6480,CURRENT,39,0
6482,CURRENT,38,0
6486,CURRENT,37,0
6488,CURRENT,37,0
6491,CURRENT,39,0
6493,CURRENT,40,0
6496,CURRENT,38,0
6499,CURRENT,36,0
6501,CURRENT,37,0
6504,CURRENT,37,0
6506,CURRENT,37,0
6509,CURRENT,38,0
6511,CURRENT,38,0
6514,CURRENT,38,0
6517,CURRENT,39,0
6519,CURRENT,40,0
6522,CURRENT,39,0
6524,CURRENT,37,0
6528,CURRENT,36,0
6530,CURRENT,38,0
6533,CURRENT,38,0
6536,CURRENT,37,0
6538,CURRENT,37,0
6541,CURRENT,40,0
6543,CURRENT,37,0
6546,CURRENT,36,0
6548,CURRENT,38,0
6551,CURRENT,38,0
6554,CURRENT,38,0
6556,CURRENT,37,0
6559,CURRENT,38,0
6561,CURRENT,39,0
6564,CURRENT,39,0
6567,CURRENT,37,0
6569,CURRENT,38,0
6573,CURRENT,39,0
6575,CURRENT,37,0
6578,CURRENT,38,0
6580,CURRENT,37,0
6583,CURRENT,37,0
6586,CURRENT,36,0
6588,CURRENT,38,0
6591,CURRENT,40,0
6593,CURRENT,36,0
6596,CURRENT,37,0
6598,CURRENT,40,0
6601,CURRENT,38,0
6604,CURRENT,37,0
6606,CURRENT,36,0
6609,CURRENT,39,0
6611,CURRENT,40,0
6615,CURRENT,38,0
6617,CURRENT,38,0
6620,CURRENT,37,0
6623,CURRENT,37,0
6625,CURRENT,37,0
6628,CURRENT,38,0
6630,CURRENT,40,0
6633,CURRENT,39,0
6635,CURRENT,37,0
6638,CURRENT,37,0
6641,CURRENT,38,0
6643,CURRENT,36,0
6646,CURRENT,40,0
6648,CURRENT,41,0
6651,CURRENT,38,0
6653,CURRENT,36,0
6657,CURRENT,38,0
6660,CURRENT,43,0
6662,CURRENT,46,0
6665,CURRENT,47,0
6667,CURRENT,49,0
6670,CURRENT,49,0
6672,CURRENT,48,0
6675,CURRENT,48,0
6678,CURRENT,49,0
6680,CURRENT,42,0
6683,CURRENT,43,0
6685,CURRENT,37,0
6688,CURRENT,43,0
6690,CURRENT,47,0
6693,CURRENT,47,0
6696,CURRENT,35,0
6699,CURRENT,9,0
6702,CURRENT,9,0
6704,CURRENT,9,0
6707,CURRENT,9,0
6709,CURRENT,9,0
6712,CURRENT,9,0
6714,CURRENT,9,0
6717,CURRENT,9,0
6719,CURRENT,9,0
6722,CURRENT,9,0
6724,CURRENT,9,0
6727,CURRENT,9,0
6729,CURRENT,9,0
6732,CURRENT,9,0
6734,CURRENT,9,0
6737,CURRENT,9,0
6739,CURRENT,9,0
6743,CURRENT,9,0
6745,CURRENT,9,0
6747,CURRENT,9,0
6750,CURRENT,9,0
6752,CURRENT,9,0
6755,CURRENT,9,0
6757,CURRENT,9,0
6760,CURRENT,9,0
6762,CURRENT,9,0
6765,CURRENT,9,0
6767,CURRENT,9,0
6770,CURRENT,9,0
6772,CURRENT,9,0
6775,CURRENT,9,0
6777,CURRENT,9,0
6780,CURRENT,9,0
6782,CURRENT,9,0
6786,CURRENT,9,0
6788,CURRENT,9,0
6791,CURRENT,9,0
6793,CURRENT,9,0
6796,CURRENT,9,0
6798,CURRENT,9,0
6801,CURRENT,9,0
6803,CURRENT,9,0
6806,CURRENT,9,0
6808,CURRENT,9,0
6811,CURRENT,9,0
6813,CURRENT,9,0
6816,CURRENT,9,0
6818,CURRENT,9,0
6821,CURRENT,9,0
6823,CURRENT,9,0
6827,CURRENT,9,0
6829,CURRENT,9,0
6832,CURRENT,9,0
6834,CURRENT,9,0
6837,CURRENT,9,0
6839,CURRENT,9,0
6842,CURRENT,9,0
6844,CURRENT,9,0
6847,CURRENT,9,0
6849,CURRENT,9,0
6852,CURRENT,9,0
6854,CURRENT,9,0
6857,CURRENT,9,0
6859,CURRENT,9,0
